学校名称/学部/学科,报考频度,国立・公立,地区归属,是否更新到最新,募集要项下载完毕,募集要项链接（募集要项一览界面的链接）,具体学部PDF,是否招收留学生,是否需要学信网（CSSD）学历验证报告,EJU必要科目,是否需要英语成绩,英语成绩类型,是否必须JLPT成绩,是否有校内考,募集要项发放月份（多期多选）,出愿开始日期,2期出愿开始日期,出愿结束日期,2期出愿结束日期,出愿材料邮寄要求,第一次选考/书类选考,第二次选考/校内考/面试 内容,校内考日期/时间,面试日期/时间,2期面试时间,合格通知日期,2期合格通知时间,入学手续开始时间,2期入学手续开始时间,入学手续截止时间,2期入学手续截止时间,是否必须住民票,是否必须推荐信,有日本初高中经验是否可以申报（有条件需具体填写）,填写人,归属大学,更新时间,审核人,最近修改
金沢大学理工学域,,,,1,,https://www.kanazawa-u.ac.jp/admission/boshuyoko,https://www.kanazawa-u.ac.jp/wp/wp-content/uploads/2025/09/R8tokubetsu_boshuyoko_shihi_20250930.pdf,是,,,是,TOEFL iBT,否,口头试问,,2025/11/01,,2025/11/08,,,,,2025/12/06,2025/12/06,,2025/12/23,,2026/02/11,,2026/02/18,,,,,新领域_学部教务,金沢大学,2025/10/01 13:46,,新领域_学部教务
金沢大学理工学域数物科学類,,,,1,,https://www.kanazawa-u.ac.jp/admission/boshuyoko,https://www.kanazawa-u.ac.jp/wp/wp-content/uploads/2025/09/R8tokubetsu_boshuyoko_shihi_20250930.pdf,是,,"日语, 物理, 数学コース２",是,TOEFL iBT,否,"数学 笔试, 英语 笔试, 物理 笔试, 化学 笔试, 生物 笔试, 口头试问",,2025/11/01,,2025/11/08,,簡易書留・速達・必着,,,2025/12/06,2025/12/06,,2025/12/23,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,金沢大学,2025/10/01 13:46,,新领域_学部教务
金沢大学理工学域物質化学類,,,,1,,https://www.kanazawa-u.ac.jp/admission/boshuyoko,https://www.kanazawa-u.ac.jp/wp/wp-content/uploads/2025/09/R8tokubetsu_boshuyoko_shihi_20250930.pdf,是,,"日语, 物理, 化学, 数学コース２",是,TOEFL iBT,否,"数学 笔试, 英语 笔试, 物理 笔试, 化学 笔试, 生物 笔试, 口头试问",,2025/11/01,,2025/11/08,,簡易書留・速達・必着,,,2025/12/06,2025/12/06,,2025/12/23,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,金沢大学,2025/10/01 13:46,,新领域_学部教务
金沢大学理工学域機械工学類,,,,1,,https://www.kanazawa-u.ac.jp/admission/boshuyoko,https://www.kanazawa-u.ac.jp/wp/wp-content/uploads/2025/09/R8tokubetsu_boshuyoko_shihi_20250930.pdf,是,,"日语, 物理, 化学, 数学コース２",是,TOEFL iBT,否,"数学 笔试, 英语 笔试, 物理 笔试, 化学 笔试, 生物 笔试, 口头试问",,2025/11/01,,2025/11/08,,簡易書留・速達・必着,,,2025/12/06,2025/12/06,,2025/12/23,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,金沢大学,2025/10/01 13:46,,新领域_学部教务
金沢大学理工学域フロンティア工学類,,,,1,,https://www.kanazawa-u.ac.jp/admission/boshuyoko,https://www.kanazawa-u.ac.jp/wp/wp-content/uploads/2025/09/R8tokubetsu_boshuyoko_shihi_20250930.pdf,是,,"日语, 物理, 化学, 数学コース２",是,TOEFL iBT,否,"数学 笔试, 英语 笔试, 物理 笔试, 化学 笔试, 生物 笔试, 口头试问",,2025/11/01,,2025/11/08,,簡易書留・速達・必着,,,2025/12/06,2025/12/06,,2025/12/23,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,金沢大学,2025/10/01 13:46,,新领域_学部教务
金沢大学理工学域電子情報通信学類,,,,1,,https://www.kanazawa-u.ac.jp/admission/boshuyoko,https://www.kanazawa-u.ac.jp/wp/wp-content/uploads/2025/09/R8tokubetsu_boshuyoko_shihi_20250930.pdf,是,,"日语, 物理, 化学, 数学コース２",是,TOEFL iBT,否,"数学 笔试, 英语 笔试, 物理 笔试, 化学 笔试, 生物 笔试, 口头试问",,2025/11/01,,2025/11/08,,簡易書留・速達・必着,,,2025/12/06,2025/12/06,,2025/12/23,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,金沢大学,2025/10/01 13:46,,新领域_学部教务
金沢大学理工学域地球社会基盤学類,,,,1,,https://www.kanazawa-u.ac.jp/admission/boshuyoko,https://www.kanazawa-u.ac.jp/wp/wp-content/uploads/2025/09/R8tokubetsu_boshuyoko_shihi_20250930.pdf,是,,"日语, 物理, 化学, 数学コース２",是,TOEFL iBT,否,"数学 笔试, 英语 笔试, 物理 笔试, 化学 笔试, 生物 笔试, 口头试问",,2025/11/01,,2025/11/08,,簡易書留・速達・必着,,,2025/12/06,2025/12/06,,2025/12/23,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,金沢大学,2025/10/01 13:46,,新领域_学部教务
金沢大学理工学域生命理工学類,,,,1,,https://www.kanazawa-u.ac.jp/admission/boshuyoko,https://www.kanazawa-u.ac.jp/wp/wp-content/uploads/2025/09/R8tokubetsu_boshuyoko_shihi_20250930.pdf,是,,"日语, 理科3选2, 数学コース２",是,TOEFL iBT,否,"数学 笔试, 英语 笔试, 物理 笔试, 化学 笔试, 生物 笔试, 口头试问",,2025/11/01,,2025/11/08,,簡易書留・速達・必着,,,2025/12/06,2025/12/06,,2025/12/23,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,金沢大学,2025/10/01 13:46,,新领域_学部教务
岡山大学,,,,1,1,https://www.okayama-u.ac.jp/tp/admission/kikokushihibosyuyoko.html,,是,不需要,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 16:49,,新领域_学部教务
広島大学,,,,1,1,https://www.hiroshima-u.ac.jp/nyushi/yoko_doga/yoko,,是,不需要,,,,,,,,,,,,,,,,,,,,,,,,,,新领域_学部教务,,2026/04/25 16:50,,新领域_学部教务
