学校名称/学部/学科,报考频度,国立・公立,地区归属,是否更新到最新,募集要项下载完毕,募集要项链接（募集要项一览界面的链接）,具体学部PDF,是否招收留学生,是否需要学信网（CSSD）学历验证报告,EJU必要科目,是否需要英语成绩,英语成绩类型,是否必须JLPT成绩,是否有校内考,募集要项发放月份（多期多选）,出愿开始日期,2期出愿开始日期,出愿结束日期,2期出愿结束日期,出愿材料邮寄要求,第一次选考/书类选考,第二次选考/校内考/面试 内容,校内考日期/时间,面试日期/时间,2期面试时间,合格通知日期,2期合格通知时间,入学手续开始时间,2期入学手续开始时间,入学手续截止时间,2期入学手续截止时间,是否必须住民票,是否必须推荐信,有日本初高中经验是否可以申报（有条件需具体填写）,填写人,归属大学,更新时间,审核人,最近修改
大阪大学医学部,其他,国立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/index2.html,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/files/2025shihi_guideline-1.pdf/@@download/file,是,,"理科3选2, 日语, 数学コース２",是,TOEFL iBT,否,"口头试问, 面试, 物理 笔试, 数学 笔试, 化学 笔试, 生物 笔试",,2026/01/05,,2026/01/08,,簡易書留・速達・必着,,,,,,2026/03/09,,2026/03/09,,2026/03/14,,否,否,不可,新领域_学部教务,大阪大学,2025/10/01 12:46,,新领域_学部教务
大阪大学医学部医学科,,,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/index2.html,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/files/2025shihi_guideline-1.pdf/@@download/file,是,,,是,TOEFL iBT,否,"口头试问, 面试, 小论文",,2026/01/05,,2026/01/08,,簡易書留・速達・必着,,2025/02/09,2026/02/07,2026/02/08,,2026/03/09,,2026/03/09,,2026/03/14,,否,否,不可,新领域_学部教务,大阪大学,2025/10/01 12:46,,新领域_学部教务
大阪大学医学部保健学科（全専攻）,,,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/index2.html,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/files/2025shihi_guideline-1.pdf/@@download/file,是,,,否,TOEFL iBT,否,"英语 笔试, 化学 笔试, 物理 笔试, 生物 笔试, 面试, 口头试问",,2026/01/05,,2026/01/08,,簡易書留・速達・必着,,2025/02/25,2026/02/25,2026/02/25,,2026/03/09,,2026/03/09,,2026/03/14,,否,否,不可,新领域_学部教务,大阪大学,2025/10/01 12:46,,新领域_学部教务
大阪大学歯学部,其他,国立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/index2.html,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/files/2025shihi_guideline-1.pdf/@@download/file,是,,"理科3选2, 日语, 数学コース２",否,TOEFL iBT,否,"英语 笔试, 物理 笔试, 生物 笔试, 化学 笔试, 口头试问, 面试",,2026/01/05,,2026/01/08,,簡易書留・速達・必着,,2025/02/25,2026/02/25,2026/02/25,,2026/03/09,,2026/03/09,,2026/03/14,,否,否,不可,新领域_学部教务,大阪大学,2025/10/01 12:46,,新领域_学部教务
大阪大学薬学部,其他,国立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/index2.html,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/files/2025shihi_guideline-1.pdf/@@download/file,是,,"理科3选2, 数学コース２, 日语",是,"TOEFL iBT, 61分以上",否,"口头试问, 面试, 物理 笔试, 化学 笔试, 生物 笔试",,2026/01/05,,2026/01/08,,簡易書留・速達・必着,,2025/02/25,2026/02/25,2026/02/25,,2026/03/09,,2026/03/09,,2026/03/14,,否,否,不可,新领域_学部教务,大阪大学,2025/10/01 12:46,,新领域_学部教务
大阪大学工学部,常报校,国立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/index2.html,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/files/2025shihi_guideline-1.pdf/@@download/file,是,,"物理必须，其他科目2选1, 日语, 数学コース２",是,TOEFL iBT,否,"口头试问, 面试, 物理 笔试, 数学 笔试, 化学 笔试, 生物 笔试",,2026/01/05,,2026/01/08,,簡易書留・速達・必着,,2025/02/25,2026/02/25,2026/02/25,,2026/03/09,,2026/03/09,,2026/03/14,,否,否,不可,新领域_学部教务,大阪大学,2025/10/01 12:46,,新领域_学部教务
大阪大学基礎工学部,常报校,国立,近畿（滋賀、京都、奈良、和歌山、大阪、兵庫）,1,,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/index2.html,https://www.osaka-u.ac.jp/ja/admissions/faculty/expense/files/2025shihi_guideline-1.pdf/@@download/file,是,,"日语, 物理, 化学, 数学コース２",是,TOEFL iBT,否,"口头试问, 面试, 物理 笔试, 数学 笔试, 化学 笔试, 生物 笔试",,2026/01/05,,2026/01/08,,簡易書留・速達・必着,,2025/02/25,2026/02/25,2026/02/25,,2026/03/09,,2026/03/09,,2026/03/14,,否,否,不可,新领域_学部教务,大阪大学,2025/10/01 12:46,,新领域_学部教务
九州大学理学部,,,,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,,是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学医学部,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,"日语, 理科3选2, 数学コース２",是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,2026/02/26,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学医学部医学科,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,,是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学医学部保健学科,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,,是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学理学部物理学科,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,"物理必须，其他科目2选1, 日语, 数学コース２",是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学理学部物理学科以外,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,"理科3选2, 日语, 数学コース２",是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学医学部保健学科看护専攻,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,"日语, 理科3选2, 数学コース２, 数学コース１",是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学医学部保健学科看護学専攻以外,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,"日语, 数学コース２, 理科3选2",是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学齿学部,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,"日语, 数学コース２, 理科3选2",是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,2026/02/26,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学药学部,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,"日语, 数学コース２, 化学必须，其他科目2选1",是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,2026/02/26,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
九州大学工学部,常报校,国立,九州（福岡、佐賀、長崎、大分、熊本、宮崎、鹿児島）,1,,https://www.kyushu-u.ac.jp/ja/admission/faculty/selection,https://www.kyushu-u.ac.jp/f/63057/R8_shihi_inst.pdf,是,,"日语, 数学コース２, 物理, 化学",是,TOEFL iBT,否,面试,,2025/11/04,,2025/11/14,,簡易書留・速達・必着,,,,2026/02/27,,2026/03/03,,2026/03/03,,2026/03/15,,否,否,不可,新领域_学部教务,九州大学,2025/10/01 12:52,,新领域_学部教务
名古屋大学情報学部,常报校,国立,東海（静岡、岐阜、愛知、三重）,1,,https://www.nagoya-u.ac.jp/admissions/exam/us-exam/cat2/index.html,https://www.nagoya-u.ac.jp/admissions/exam/upload/2026_shihi_yoko.pdf,是,,"日语, 理科3选2, 数学コース２",是,TOEFL iBT,否,面试,,2025/12/01,,2025/12/05,,簡易書留・速達・必着,2025/12/23,,2026/01/30,2026/01/30,,2026/02/11,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,名古屋大学,2025/09/30 20:26,,新领域_学部教务
名古屋大学理学部,常报校,国立,東海（静岡、岐阜、愛知、三重）,1,,https://www.nagoya-u.ac.jp/admissions/exam/us-exam/cat2/index.html,https://www.nagoya-u.ac.jp/admissions/exam/upload/2026_shihi_yoko.pdf,是,,"日语, 理科3选2, 数学コース２",是,"TOEFL iBT, IELTs",否,面试,,2025/12/01,,2025/12/05,,簡易書留・速達・必着,2025/12/23,,2026/01/29,2026/01/29,,2026/02/11,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,名古屋大学,2025/09/30 20:26,,新领域_学部教务
名古屋大学医学部,常报校,国立,東海（静岡、岐阜、愛知、三重）,1,,https://www.nagoya-u.ac.jp/admissions/exam/us-exam/cat2/index.html,https://www.nagoya-u.ac.jp/admissions/exam/upload/2026_shihi_yoko.pdf,是,,"日语, 理科3选2, 数学コース２",是,TOEFL iBT,否,"笔试, 面试",,2025/12/01,,2025/12/05,,簡易書留・速達・必着,2025/12/23,,2026/01/30,2026/01/30,,2026/02/11,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,名古屋大学,2025/09/30 20:26,,新领域_学部教务
名古屋大学農学部,常报校,国立,東海（静岡、岐阜、愛知、三重）,1,,https://www.nagoya-u.ac.jp/admissions/exam/us-exam/cat2/index.html,https://www.nagoya-u.ac.jp/admissions/exam/upload/2026_shihi_yoko.pdf,是,,"日语, 理科3选2, 数学コース２",是,TOEFL iBT,否,"小论文, 面试",,2025/12/01,,2025/12/05,,簡易書留・速達・必着,2025/12/23,,2026/01/30,2026/01/30,,2026/02/11,,2026/02/11,,2026/02/18,,否,否,不可,新领域_学部教务,名古屋大学,2025/09/30 20:26,,新领域_学部教务
北海道大学理学部,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,,是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学理学部数学科,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"日语, 数学コース２, 物理必须，其他科目2选1",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"数学 笔试, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学理学部物理学科,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"日语, 数学コース２, 物理, 化学",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"数学 笔试, 物理 笔试, 化学 笔试, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学理学部化学学科,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"日语, 数学コース２, 物理, 化学",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"数学 笔试, 物理 笔试, 化学 笔试, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学理学部生物学科,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,,是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学理学部生物学科生物学専修分野,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"生物必须，其他科目2选1, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学理学部生物学科高分子機能学専修分野,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"日语, 数学コース２, 理科3选2",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学理学部地球惑星科学科,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"日语, 数学コース２, 理科3选2",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学医学部,其他,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,,是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学医学部医学科,其他,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"物理, 化学, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R",否,"小论文, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学医学部保健学科,其他,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,,是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学医学部保健学科看護学専攻,其他,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"理科3选2, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"小论文, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学医学部保健学科放射線技術科学専攻,其他,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"日语, 数学コース２, 物理必须，其他科目2选1",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"小论文, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学医学部保健学科検査技術科学専攻,其他,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"化学必须，其他科目2选1, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"小论文, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学医学部保健学科理学療法学専攻,其他,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"理科3选2, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"小论文, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学医学部保健学科作業療法学専攻,其他,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"理科3选2, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"小论文, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学歯学部,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"生物必须，其他科目2选1, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"小论文, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学薬学部,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"理科3选2, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学工学部,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,,是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学工学部応用理工系学科,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,,是,"TOEFL iBT, TOEIC L&R, IELTs",否,"口头试问, 综合问题, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学工学部応用理工系学科応用物理工学コース,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"物理必须，其他科目2选1, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,面试,,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学工学部応用理工系学科応用化学コース,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"日语, 物理, 化学, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,面试,,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学工学部応用理工系学科応用マテリアル工学コース,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"日语, 物理, 化学, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,面试,,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学工学部情報エレクトロニクス学科,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"物理必须，其他科目2选1, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,面试,,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学工学部機械知能工学科,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"物理必须，其他科目2选1, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,面试,,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学工学部環境社会工学科,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"物理必须，其他科目2选1, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,面试,,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
北海道大学農学部,常报校,国立,北海道,1,,https://www.hokudai.ac.jp/admission/faculty/intl-private/,https://www.hokudai.ac.jp/admission/shihi_admissionR08.pdf,是,,"理科3选2, 日语, 数学コース２",是,"TOEFL iBT, TOEIC L&R, IELTs",否,"小论文, 口头试问, 面试",,2025/09/16,,2025/09/25,,簡易書留・速達・必着,2025/10/28,,2025/11/16,2025/11/16,,2025/12/09,,2025/12/09,,2025/12/15,,否,否,不可,新领域_学部教务,北海道大学,2025/09/03 14:43,,新领域_学部教务
